Fund Name,Filename,Category,Start Date,End Date,Years,CAGR,CAGR_3Y,CAGR_5Y,CAGR_10Y,Abs_1Y,% Away from ATH,Mean Annual Return,Best 1y Return,Rolling 1y Mean,Rolling 2y Mean,Rolling 3y Mean,Rolling 4y Mean,Rolling 5y Mean,Rolling 1y Median,Rolling 3y Median,Skewness,Kurtosis,Positive Month %,Annual Volatility,Downside Deviation,Ulcer Index,Autocorrelation,Max Drawdown,Avg Drawdown,Worst Month,Worst Year,Negative Month %,VaR 95%,CVaR 95%,Recovery Ratio,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Sterling Ratio,Pain Index,Alpha,Beta,Upside Capture,Downside Capture,Roll 3Y 5th %,Roll 3Y 25th %,Roll 3Y Median,Roll 3Y 75th %,Roll 3Y 95th %,Vol_vs_Cat,Sharpe_vs_Cat,Sortino_vs_Cat,Alpha_vs_Cat,bad_days_pct,peer_outperformance_pct
Motilal Oswal Arbitrage Fund Direct Plan IDCW,Motilal_Oswal_Arbitrage_Fund_Direct_Plan_IDCW_153185,Hybrid - Arbitrage,2024-12-27,2026-01-09,1.03,0.0747743745822144,,,,0.0755279478333696,0.0,0.0696920107154011,0.0730796798470911,0.0719811303379592,,,,,0.0716927709041603,,0.2085094838544316,0.7935190789356352,0.9285714285714286,0.0077114665921192,0.0031982836760776,0.0002426659894261,-0.3842006175079327,-0.002118726431598,-0.0003333372206323,0.0023043829735831,0.0023043829735831,0.0,-0.000565739977966,-0.0007425893886731,35.292132795933895,1.915896853824564,4.619469715186021,35.292132795933895,0.7452595184568224,9.71721049075966e-05,0.0137895356407951,-0.0093602285269088,19.629824235479447,-24.010114179830445,,,,,,-0.0139090341988291,2.379637107318427,4.953947376252744,0.027639121444407,23.4375,100.0
Motilal Oswal Arbitrage Fund Direct Plan Growth,Motilal_Oswal_Arbitrage_Fund_Direct_Plan_Growth_153187,Hybrid - Arbitrage,2024-12-27,2026-01-09,1.03,0.0747840022036996,,,,0.0755379185195526,0.0,0.0697007225194,0.0730789523458732,0.0719831534205351,,,,,0.071702740695692,,0.2060052432580871,0.8030350075931527,0.9285714285714286,0.007718879505393,0.003205834991588,0.0002429999828238,-0.3850051469747951,-0.002118726431598,-0.0003340745860262,0.0023136748404122,0.0023136748404122,0.0,-0.000565739977966,-0.0007440495982377,35.29667685662128,1.915304182863624,4.611591751444535,35.29667685662128,0.7453499971196721,9.738705644307489e-05,0.0138001977061372,-0.0094084233264431,19.625284823222668,-24.024976043614235,,,,,,-0.0139016212855553,2.3790444363574865,4.946069412511257,0.0276497835097491,23.4375,100.0
DSP Multi Asset Allocation Fund - Direct - IDCW,DSP_Multi_Asset_Allocation_Fund___Direct___IDCW_152055,Hybrid - Multi Asset,2023-09-29,2026-01-09,2.28,0.2061740726979617,,,,0.1934361401514857,-0.0108202623445837,0.1843154271501044,0.3247187840180621,0.1405320836373629,0.1826635167131122,,,,0.1231162582503431,,-3.2284719635260286,32.59007469318207,0.7241379310344828,0.0794831832687538,0.0592339271295073,0.0225638736658818,0.0544302493156748,-0.0960686495747137,-0.018064733268788,-0.0451368918652748,0.0054697132663501,0.2413793103448276,-0.0059758908775896,-0.0114122844561914,2.14611190654468,1.8390565989752603,2.4677423865274197,2.14611190654468,1.7462799177175332,0.0130029707589095,0.1027183650482195,0.4341738786566991,85.63180072207545,10.565302602800022,,,,,,-0.009335665399919,0.8536120740396037,1.0187746817283991,0.0509296852108297,40.232108317214696,60.71428571428571
HSBC Arbitrage Fund - Direct Growth,HSBC_Arbitrage_Fund___Direct_Growth_151138,Hybrid - Arbitrage,2022-11-28,2026-01-09,3.12,0.0762268249374846,0.0759779003006655,,,0.0687335240053335,-3.33315873931328e-05,0.0709072072544049,0.083249541779905,0.0748089813894608,0.0750226211634632,0.0734503079174416,,,0.0757880617035546,0.0733855101446394,0.2257954173528179,1.6928505693086038,0.9743589743589745,0.0089113510466105,0.0040780105871191,0.0003165211205751,-0.3570609981175026,-0.0025349359817048,-0.0004104300725726,0.0017840957878165,0.0017840957878165,0.0,-0.0006406796248746,-0.0009402782434149,30.070512820689743,1.820916363030796,3.979103190349457,30.070512820689743,0.7591524593848562,0.0001420138410619,0.0162398528124623,-0.0159998613057595,18.78100980206944,-28.528445787311156,0.0728734585068432,0.0730858530314375,0.0733855101446394,0.0737474672054691,0.0741870707017502,-0.0127091497443378,2.2846566165246585,4.313580851416178,0.0300894386160742,26.692708333333332,100.0
Aditya Birla Sun Life Multi Asset Allocation Fund Direct Growth,Aditya_Birla_Sun_Life_Multi_Asset_Allocation_Fund_Direct_Growth_151307,Hybrid - Multi Asset,2023-02-02,2026-01-09,2.93,0.2016879702078851,0.2016879702078851,,,0.2033989957512554,-0.0147082499597507,0.180711351071456,0.3267992286421188,0.1837068517311662,0.1812498362600969,0.1970507982762601,,,0.1835146109018997,0.1966513723038707,-0.852521305556451,6.815602210157669,0.7222222222222222,0.0805888244403049,0.0553045538010808,0.0230419285470155,0.0129986972211516,-0.0883843830888698,-0.0184557570628203,-0.0403950813507127,-0.0019627828416668,0.25,-0.0073335062713396,-0.0118020124295766,2.2819412565802426,1.7581590399403138,2.561958473031132,2.2819412565802426,1.7026438833270416,0.0136192418481829,0.0786662435808103,0.6100402256008914,89.25107782670663,25.682033696990896,0.1940070430044522,0.1948750034220862,0.1966513723038707,0.1986681455564591,0.2010704147019719,-0.0082300242283678,0.7727145150046569,1.1129907682321116,0.0268775637434205,39.94452149791955,65.71428571428571
Kotak Multi Asset Allocation Fund - Direct Plan - Growth Option,Kotak_Multi_Asset_Allocation_Fund___Direct_Plan___Growth_Option_152064,Hybrid - Multi Asset,2023-10-03,2026-01-09,2.27,0.2286478481552969,,,,0.2435538987263126,-0.0182108038506346,0.2034835708256882,0.3531517200238616,0.1364889056144518,0.1983786171368961,,,,0.1114832483636181,,-0.942072799005004,5.5088967795967765,0.75,0.0978783762667949,0.0688889260507013,0.0350324984204733,0.0072013194263207,-0.1199853049228507,-0.0289023299871178,-0.0600376706953382,-0.0059597715420909,0.2142857142857142,-0.0093276331130975,-0.0150708780118718,1.9056320963830944,1.7230347967318127,2.448112604211224,1.9056320963830944,1.7738069449803378,0.0209712192330771,0.1039528720098954,0.6547508594834393,93.3613413190504,9.577881911980308,,,,,,0.0090595275981221,0.7375902717961559,0.9991448994122032,0.0521641921725057,37.745974955277276,74.07407407407408
Mahindra Manulife Multi Asset Allocation Fund Direct Plan - Growth,Mahindra_Manulife_Multi_Asset_Allocation_Fund__Direct_Plan___Growth_152443,Hybrid - Multi Asset,2024-03-15,2026-01-09,1.82,0.1894055694622547,,,,0.2207140382514147,-0.0125180548868561,0.1705058239064761,0.243150283016313,0.1319324994745054,,,,,0.1108647125407731,,-1.2030901381525676,8.877785220306567,0.6956521739130435,0.0762284715944112,0.05333988238024,0.0178753371029936,-0.0046519815419228,-0.0626338884665884,-0.0154490254262206,-0.0367487151264458,-0.0020914273265313,0.2608695652173913,-0.0067784027178168,-0.0113079059846036,3.0240110282038715,1.6976015228375934,2.4260565207056697,3.0240110282038715,1.640599119507484,0.0112297537762023,0.0986588053753196,0.5088126632562893,88.86175757656079,11.5836155991274,,,,,,-0.0125903770742616,0.7121569979019365,0.9770888159066496,0.0468701255379298,38.839285714285715,54.54545454545454
HDFC Pharma and Healthcare Fund - IDCW Option - Direct Plan,HDFC_Pharma_and_Healthcare_Fund___IDCW_Option___Direct_Plan_152081,Equity - Sectoral / Thematic,2023-10-04,2026-01-09,2.27,0.2912447535851452,,,,0.0410253409024405,-0.0259555360858613,0.2560874488384193,0.7107913669064749,0.2729864487284856,0.2812839997176065,,,,0.2571041948579162,,-0.533269204255929,2.0480459227449126,0.7142857142857143,0.1364278700422639,0.0944931177468801,0.0401172435025694,0.0636098027038083,-0.1491303599104528,-0.0325583126366768,-0.0815985130111524,0.0047446904654315,0.25,-0.0144906743185079,-0.0209760827737711,1.952954138647736,1.6949964366775505,2.447212655260073,1.952954138647736,2.1971066754855646,0.0261344971586141,0.1614517551206663,0.6165811446746063,120.90761634242844,17.163298416569088,,,,,,-0.032524409245991,1.318994356601153,1.915105576756164,0.139477174188354,41.21863799283154,55.55555555555556
HDFC Pharma and Healthcare Fund - Growth Option - Direct Plan,HDFC_Pharma_and_Healthcare_Fund___Growth_Option___Direct_Plan_152082,Equity - Sectoral / Thematic,2023-10-04,2026-01-09,2.27,0.2912447535851452,,,,0.0410253409024405,-0.0259555360858613,0.2560874488384193,0.7107913669064749,0.2729864487284856,0.2812839997176065,,,,0.2571041948579162,,-0.533269204255929,2.0480459227449126,0.7142857142857143,0.1364278700422639,0.0944931177468801,0.0401172435025694,0.0636098027038083,-0.1491303599104528,-0.0325583126366768,-0.0815985130111524,0.0047446904654315,0.25,-0.0144906743185079,-0.0209760827737711,1.952954138647736,1.6949964366775505,2.447212655260073,1.952954138647736,2.1971066754855646,0.0261344971586141,0.1614517551206663,0.6165811446746063,120.90761634242844,17.163298416569088,,,,,,-0.032524409245991,1.318994356601153,1.915105576756164,0.139477174188354,41.21863799283154,55.55555555555556
Union Midcap Fund - Direct Plan - IDCW Option,Union_Midcap_Fund___Direct_Plan___IDCW_Option_148074,Equity - Mid Cap,2020-03-30,2026-01-09,5.78,0.3209730794772634,0.2158867605364811,0.212199369840109,,0.0621931260229131,-0.0264391524470278,0.2809358075405165,1.0740740740740744,0.2867997469056892,0.249850892356116,0.2397126434103821,0.2481579568445486,0.2629154738570802,0.2148086764220593,0.2261945856712266,-0.8993125022545562,5.96214594279777,0.7323943661971831,0.1553184954596136,0.1108623977331953,0.0611824455430682,0.068715477879148,-0.2126252126252126,-0.0490819753664411,-0.100610356369364,-0.0140524116976831,0.2535211267605634,-0.0154856874706709,-0.0245071318871156,1.5095720564570672,1.6802447043090398,2.3540270173961857,1.5095720564570672,2.152997226447507,0.0394931126292887,0.1123203684935755,0.7783447797869675,110.08621440422252,56.24817903755746,0.1815303504246794,0.207068587997157,0.2261945856712266,0.2554779321116476,0.3320001856251681,-0.0198751832264998,1.2125856851184902,1.715451213878333,0.0869679199052778,38.73684210526316,61.42857142857143
Union Midcap Fund - Direct Plan - Growth Option,Union_Midcap_Fund___Direct_Plan___Growth_Option_148073,Equity - Mid Cap,2020-03-30,2026-01-09,5.78,0.3209730794772634,0.2158867605364811,0.212199369840109,,0.0621931260229131,-0.0264391524470278,0.2809358075405165,1.0740740740740744,0.2867997469056892,0.249850892356116,0.2397126434103821,0.2481579568445486,0.2629154738570802,0.2148086764220593,0.2261945856712266,-0.8993125022545562,5.96214594279777,0.7323943661971831,0.1553184954596136,0.1108623977331953,0.0611824455430682,0.068715477879148,-0.2126252126252126,-0.0490819753664411,-0.100610356369364,-0.0140524116976831,0.2535211267605634,-0.0154856874706709,-0.0245071318871156,1.5095720564570672,1.6802447043090398,2.3540270173961857,1.5095720564570672,2.152997226447507,0.0394931126292887,0.1123203684935755,0.7783447797869675,110.08621440422252,56.24817903755746,0.1815303504246794,0.207068587997157,0.2261945856712266,0.2554779321116476,0.3320001856251681,-0.0198751832264998,1.2125856851184902,1.715451213878333,0.0869679199052778,38.73684210526316,61.42857142857143
Samco Multi Asset Allocation Fund - Direct Plan - Growth,Samco_Multi_Asset_Allocation_Fund___Direct_Plan___Growth_153092,Hybrid - Multi Asset,2024-12-31,2026-01-09,1.02,0.1999285743313932,,,,0.2209889001009082,-0.0106295993458708,0.1791157678246523,0.2245720040281973,0.2133921941204034,,,,,0.2165156092648539,,0.3518919866394877,2.262762037116665,0.7142857142857143,0.0847166428715692,0.0526113098620218,0.0141182910601808,0.085597765758245,-0.0455675227837614,-0.0130346546731622,-0.0261162594776747,0.0041493775933609,0.2142857142857142,-0.0082850041425019,-0.0108387149179665,4.387523440327114,1.6517247330436051,2.6596671836981267,4.387523440327114,1.768736985214695,0.0098365609615313,0.1177136325506678,0.2940125932428579,85.94307266707345,0.2406593890960927,,,,,,-0.0041022057971035,0.6662802081079485,1.2106994788991066,0.0659249527132781,38.188976377952756,46.15384615384615
Bandhan Multi Asset Allocation Fund - Direct Plan - Growth,Bandhan_Multi_Asset_Allocation_Fund___Direct_Plan___Growth_152324,Hybrid - Multi Asset,2024-02-01,2026-01-09,1.94,0.1902968861173575,,,,0.2110736198966163,-0.0127679331424591,0.1713604767865739,0.2367821311003031,0.1204766180465515,0.1856069910933074,,,,0.109087171857565,,-0.7758158845178917,5.459269562105526,0.6666666666666666,0.0791767188485771,0.0546578085041653,0.0278312073757603,0.067442258654162,-0.0909771097809643,-0.0238225982163948,-0.0346924301134791,-0.0008401207495586,0.2916666666666667,-0.0070590874964402,-0.0119047696906595,2.0917007209342504,1.645646447746162,2.3838659046754125,2.0917007209342504,1.5368510179764674,0.0169154543548365,0.0965616567756705,0.5437051132756184,92.18305442614316,14.25827854713364,,,,,,-0.0096421298200957,0.660201922810505,0.9348981998763924,0.0447729769382807,38.429752066115704,65.21739130434783
Bandhan Multi Asset Allocation Fund - Direct Plan - IDCW,Bandhan_Multi_Asset_Allocation_Fund___Direct_Plan___IDCW_152323,Hybrid - Multi Asset,2024-02-01,2026-01-09,1.94,0.1902968861173575,,,,0.2110736198966163,-0.0127679331424591,0.1713604767865739,0.2367821311003031,0.1204766180465515,0.1856069910933074,,,,0.109087171857565,,-0.7758158845178917,5.459269562105526,0.6666666666666666,0.0791767188485771,0.0546578085041653,0.0278312073757603,0.067442258654162,-0.0909771097809643,-0.0238225982163948,-0.0346924301134791,-0.0008401207495586,0.2916666666666667,-0.0070590874964402,-0.0119047696906595,2.0917007209342504,1.645646447746162,2.3838659046754125,2.0917007209342504,1.5368510179764674,0.0169154543548365,0.0965616567756705,0.5437051132756184,92.18305442614316,14.25827854713364,,,,,,-0.0096421298200957,0.660201922810505,0.9348981998763924,0.0447729769382807,38.429752066115704,65.21739130434783
DSP Multi Asset Allocation Fund - Regular - IDCW,DSP_Multi_Asset_Allocation_Fund___Regular___IDCW_152054,Hybrid - Multi Asset,2023-09-29,2026-01-09,2.28,0.1893527897743205,,,,0.1771086056800341,-0.0109191688373984,0.1707600707262348,0.3064029466673394,0.1249230419027706,0.1666302956697287,,,,0.1079368138157206,,-3.332484359972714,34.051186522633984,0.6896551724137931,0.0797075567917744,0.0599286960443201,0.025190138332495,0.0553882413348991,-0.1033368554846021,-0.0200512299844126,-0.047146023384299,0.0051726472579551,0.2758620689655172,-0.0060384885995499,-0.0114970178945481,1.832383895236056,1.622842237057119,2.1584449239252272,1.832383895236056,1.57726655361137,0.0147019924550139,0.0882468895549447,0.434733597731098,82.17880702635875,16.43511704451888,,,,,,-0.0091112918768984,0.6373977121214621,0.7094772191262071,0.0364582097175549,40.81237911025145,53.57142857142857
Kotak Multi Asset Allocation Fund - Direct Plan - IDCW Option,Kotak_Multi_Asset_Allocation_Fund___Direct_Plan___IDCW_Option_152063,Hybrid - Multi Asset,2023-10-03,2026-01-09,2.27,0.217939169605299,,,,0.2191844660194173,-0.0182011508631473,0.1950861909897189,0.3531517200238616,0.1354421514243245,0.1964953841265861,,,,0.111500049554107,,-0.9404701550586856,5.35317713702581,0.75,0.0984107166918986,0.0696159725719194,0.0350763427568463,-0.0076807197044979,-0.1200587803085965,-0.0286802467643513,-0.0600423828584882,-0.006015704154002,0.2142857142857142,-0.00965839113243,-0.0152773496629941,1.8152705620123148,1.6048980732430826,2.268720291771174,1.8152705620123148,1.693648987201627,0.0210997775017197,0.0950508011971755,0.6544750763997215,93.3803540603964,18.65940366709299,,,,,,0.0095918680232258,0.6194535483074258,0.8197525869721538,0.0432621213597857,37.745974955277276,74.07407407407408
HDFC Pharma and Healthcare Fund - IDCW Option,HDFC_Pharma_and_Healthcare_Fund___IDCW_Option_152083,Equity - Sectoral / Thematic,2023-10-04,2026-01-09,2.27,0.2757568918811379,,,,0.0288907383188681,-0.0310155637666553,0.2444310150370128,0.6904247660187184,0.2581135283416125,0.2663344939388523,,,,0.242173185692663,,-0.5327044091571558,2.054868390431184,0.7142857142857143,0.1364188052396906,0.0948142869248166,0.0414826235641434,0.0640377394100068,-0.1506849315068493,-0.0338784576235178,-0.0823781332661544,0.0045269878119558,0.25,-0.0144885540423066,-0.0210164019846811,1.830023009756642,1.5815773456016469,2.275573638519511,1.830023009756642,2.05975551837174,0.0274226975704697,0.1490893978296944,0.6162587085230509,117.79792444655416,22.124417114946556,,,,,,-0.0325334740485643,1.2055752655252494,1.743466560015602,0.1271148168973821,41.39784946236559,55.55555555555556
HDFC Pharma and Healthcare Fund - Growth Option,HDFC_Pharma_and_Healthcare_Fund___Growth_Option_152084,Equity - Sectoral / Thematic,2023-10-04,2026-01-09,2.27,0.2757568918811379,,,,0.0288907383188681,-0.0310155637666553,0.2444310150370128,0.6904247660187184,0.2581135283416125,0.2663344939388523,,,,0.242173185692663,,-0.5327044091571558,2.054868390431184,0.7142857142857143,0.1364188052396906,0.0948142869248166,0.0414826235641434,0.0640377394100068,-0.1506849315068493,-0.0338784576235178,-0.0823781332661544,0.0045269878119558,0.25,-0.0144885540423066,-0.0210164019846811,1.830023009756642,1.5815773456016469,2.275573638519511,1.830023009756642,2.05975551837174,0.0274226975704697,0.1490893978296944,0.6162587085230509,117.79792444655416,22.124417114946556,,,,,,-0.0325334740485643,1.2055752655252494,1.743466560015602,0.1271148168973821,41.39784946236559,55.55555555555556
